idx,moltype,tr_avg_f1,vl_avg_f1,mem_score,mem_score2
19647,5S-rRNA,0.9895046648387097,0.9803921295890412,0.009112535249668485,0.004625894755220235
19655,5S-rRNA,0.9980174718181818,0.9798456092753624,0.01817186254281944,0.009187624116413745
19668,5S-rRNA,0.9995721065671642,0.9976565336764706,0.001915572890693662,0.0009591154723577307
19674,5S-rRNA,0.9967404807692308,0.9691481945714285,0.027592286197802296,0.014035528330728575
19679,5S-rRNA,0.9930558372413794,0.9551261327272726,0.03792970451410671,0.01946928218143659
19685,5S-rRNA,0.9979066309999999,0.9982881543076924,-0.00038152330769247733,-0.00019112529022746123
19688,5S-rRNA,0.9989850128571429,0.9971549850769231,0.0018300277802197895,0.0009167832827926915
19711,5S-rRNA,0.9985675403174603,0.9900407401388889,0.008526800178571436,0.004287822927406645
19743,5S-rRNA,0.9995084722033898,0.9979506061842105,0.0015578660191792881,0.0007799238723012224
19745,5S-rRNA,0.9962766125000001,0.9946509514285714,0.0016256610714286968,0.0008165345143049215
19762,5S-rRNA,0.9974271063076924,0.9934282908571429,0.0039988154505494755,0.0020085916115475605
19764,5S-rRNA,0.9980943713235294,0.9827059192537313,0.015388452069798109,0.007768805438388482
19767,5S-rRNA,0.9979713811290323,0.9915322638356163,0.006439117293415952,0.0032365446073512314
19770,5S-rRNA,0.995962914,0.9852826036250001,0.010680310374999946,0.005390705129671597
19774,5S-rRNA,0.99984306609375,0.9989712088732394,0.0008718572205105302,0.0004361872093018392
19776,5S-rRNA,0.9999956885294118,0.976176043283582,0.0238196452458298,0.012053428789803106
19779,5S-rRNA,0.9991983022222222,0.994851947936508,0.004346354285714171,0.0021796613627806985
19789,5S-rRNA,0.9990561619672131,0.9968374774324323,0.0022186845347808015,0.001111624633188455
19798,5S-rRNA,0.9986188996875,0.9950124974647887,0.003606402222711247,0.0018089613896844958
19814,5S-rRNA,0.9866481006976744,0.8014520046938776,0.18519609600379683,0.10357143621063834
19822,5S-rRNA,0.9999932454166667,0.9962971395238096,0.003696105892857071,0.0018514870986403506
19823,5S-rRNA,0.9998152826582278,0.9976713,0.0021439826582277943,0.0010733402050564023
19824,5S-rRNA,0.995452193442623,0.9931108412162162,0.0023413522264068565,0.0011774091067767143
19825,5S-rRNA,0.9997651238709677,0.9906510860273973,0.009114037843570455,0.004578960821483582
19828,5S-rRNA,0.9803038804918033,0.9375953654054054,0.042708515086397836,0.022268383064313918
19829,5S-rRNA,0.9958410387142856,0.9830316632307693,0.01280937548351635,0.006473066949140224
19830,5S-rRNA,0.9995737660294118,0.9982896900000001,0.0012840760294117182,0.0006427246194110346
19831,5S-rRNA,0.9988579136363636,0.9966789142028986,0.002178999433465001,0.0010919364669527997
19841,5S-rRNA,0.9983582606666666,0.989704453,0.008653807666666569,0.004352884648546118
19849,5S-rRNA,0.9962731280701754,0.9941812583333334,0.002091869736842056,0.0010509508538006696
19856,5S-rRNA,0.9947009715686275,0.9217223344047619,0.07297863716386555,0.03808064582412196
19860,5S-rRNA,0.9889472701639344,0.8619501779729729,0.12699709219096145,0.06861379182233748
19890,5S-rRNA,0.9910291345714285,0.9273223356923077,0.06370679887912079,0.033209138088945885
19892,5S-rRNA,0.9979719051470587,0.9894548768656716,0.008517028281387118,0.004285455121401581
19894,5S-rRNA,0.9989260720967742,0.9685097520547946,0.030416320041979583,0.015459879132319972
19896,5S-rRNA,0.999075235522388,0.9942700980882354,0.004805137434152562,0.0024105895517104563
19909,5S-rRNA,0.9938342711940299,0.9939232442647059,-8.897307067601279e-05,-4.4760525357882765e-05
19913,5S-rRNA,0.9957120112499999,0.9505678026984128,0.04514420855158707,0.023195127559794772
19919,5S-rRNA,0.9909427136486486,0.7632533175409836,0.22768939610766503,0.12979700789384088
19928,5S-rRNA,0.9999904689705882,0.9987992713432836,0.0011911976273045743,0.0005959594464986194
19935,5S-rRNA,0.9955241015584415,0.9569488627586208,0.03857523879982072,0.019757118026632242
19941,5S-rRNA,0.9995681519402985,0.9838844830882352,0.015683668852063293,0.007907256556110133
19945,5S-rRNA,0.986166014,0.7152719558461538,0.27089405815384626,0.15921477183111227
19947,5S-rRNA,0.9723693219298245,0.8832950165384614,0.08907430539136307,0.048001302576568
19949,5S-rRNA,0.969020727361111,0.9206995903174603,0.04832113704365071,0.025570523104186577
19971,5S-rRNA,0.9997286298305085,0.9908295690789475,0.008899060751560994,0.004470635802779552
19976,5S-rRNA,0.9967234591666667,0.9688539134920635,0.027869545674603202,0.01417880876238699
19979,5S-rRNA,0.9945145865753424,0.9857956916129033,0.008718894962439161,0.004402792359597275
19990,5S-rRNA,0.9992647879452056,0.9973101130645161,0.0019546748806894554,0.0009790140503624098
19991,5S-rRNA,0.9963015954545453,0.9956231617391303,0.0006784337154149833,0.00034059203941558264
20008,5S-rRNA,0.9999804615789474,0.9979350749152542,0.0020453866636931384,0.0010237603273671096
20031,5S-rRNA,0.9844192352542374,0.8768793594736842,0.10753987578055313,0.057776799534022615
20032,5S-rRNA,0.9869901906060606,0.9516187363768117,0.03537145422924892,0.018245791472908775
20043,5S-rRNA,0.9988673346666667,0.9944133029333333,0.0044540317333333634,0.0022345231520917294
20044,5S-rRNA,0.9952419225,0.9664241934177216,0.02881772908227842,0.014690435262372206
20052,5S-rRNA,0.9986794359210527,0.9791097552542373,0.019569680666815414,0.009894725258957576
20062,5S-rRNA,0.98645165921875,0.9811882090140844,0.005263450204665565,0.002675006890052876
20084,5S-rRNA,0.9997294778181819,0.9936319951250001,0.006097482693181777,0.0030588946239534236
20093,5S-rRNA,0.9991144032307692,0.9992050565714286,-9.065334065938568e-05,-4.536478900543707e-05
20094,5S-rRNA,0.9971904862318841,0.9879665313636364,0.009223954868247675,0.00464646110433118
20096,5S-rRNA,0.9970408539393939,0.9962606149275364,0.0007802390118575309,0.0003914305106598095
20112,5S-rRNA,0.9995727367741936,0.9985948383561645,0.0009778984180290884,0.000489397601182319
20113,5S-rRNA,0.9945172586486487,0.9884948839344263,0.0060223747142224004,0.0030369832765510174
20116,5S-rRNA,0.9898023832307692,0.7613565621428572,0.228445821087912,0.13045407539472148
20123,5S-rRNA,0.9936768601639344,0.9884614877027028,0.005215372461231604,0.0026311848851745773
20133,5S-rRNA,0.9934354956164384,0.9586887577419355,0.03474673787450289,0.01779944991448453
