idx,moltype,tr_avg_f1,vl_avg_f1,mem_score,mem_score2
38091,5S-rRNA,0.9672383621969697,0.7878271322916667,0.179411229905303,0.1022248061218804
38347,5S-rRNA,0.9843863923423424,0.9205412832478633,0.06384510909447905,0.03351576540810026
38436,5S-rRNA,0.9339829919469026,0.7071145767826087,0.2268684151642939,0.13824188121851197
38459,5S-rRNA,0.9968089437383177,0.9549453497520661,0.04186359398625161,0.021449213215965636
38554,5S-rRNA,0.9457829262711864,0.7387228735454546,0.2070600527257318,0.1229203560761087
38577,5S-rRNA,0.9708756468,0.73166024953125,0.23921539726875007,0.14050534722012561
38590,RNaseP,0.8595925859223301,0.392449570648,0.4671430152743301,0.3731048613841858
38657,RNaseP,0.9581041919008264,0.7434409068224299,0.2146632850783965,0.12615785807820654
38679,RNaseP,0.8651324787254902,0.30027852617407935,0.5648539525514108,0.48468218523480283
38714,RNaseP,0.9980233319827586,0.029912492809669598,0.968110839173089,0.9418008554849038
38745,RNaseP,0.9577747497619047,0.7886917203921568,0.16908302936974784,0.09681435759532932
38806,RNaseP,0.8525324443650794,0.27841719298588236,0.574115251379197,0.507639980082539
38819,RNaseP,0.8697913650442477,0.37824971826086956,0.49154164678337814,0.39385053373536066
38822,RNaseP,0.929199412601626,0.5999799626666666,0.32921944993495933,0.21529158400870937
38864,RNaseP,0.9281508525,0.58888393875,0.33926691374999995,0.22363818925369025
38963,RNaseP,0.9489740836697247,0.878077419579832,0.0708966640898927,0.03880386730412216
38981,RNaseP,0.9406104473000001,0.57041078046875,0.37019966683125005,0.24499964661509455
39030,RNaseP,0.986096432300885,0.9004246733913044,0.08567175890958056,0.045412563183673725
39032,gpI-intron,0.8800827233980583,0.6512736983999999,0.22880902499805833,0.14941591764078008
39039,gpI-intron,0.6704846710434782,0.3997476223893805,0.2707370486540977,0.25297036009414947
39040,gpI-intron,0.4387138882727273,0.296727710838983,0.14198617743374425,0.19306247784357
39041,gpI-intron,0.477725294453125,0.3299971051,0.14772818935312498,0.1828947537357588
39042,gpI-intron,0.5292554189312977,0.30718225391752574,0.22207316501377194,0.2654987600659029
39047,gpI-intron,0.7639383535483871,0.5663210259615384,0.1976173275868487,0.14855548521646353
39053,gpI-intron,0.8685097363392857,0.7056387539655172,0.1628709823737685,0.10346608555475711
39054,gpI-intron,0.709978903697479,0.5993710555963302,0.11060784810114876,0.0844753897275901
39056,gpI-intron,0.632357207118644,0.5273591835454545,0.10499802357318944,0.09053767319185987
39057,gpI-intron,0.5885786482653061,0.40186434561538464,0.1867143026499215,0.18851595074477673
39059,gpI-intron,0.7650379828301886,0.6445094757377049,0.12052850709248375,0.0855086548238264
39061,gpI-intron,0.7528008686324787,0.419788957927928,0.3330119107045508,0.28399692983981
39063,gpI-intron,0.8536313791666666,0.6120121227777778,0.24161925638888881,0.1648554072448973
39064,gpI-intron,0.9083119876859505,0.7614179653271028,0.14689402235884763,0.08797471836315515
39066,gpI-intron,0.7450297710743801,0.6517277854205608,0.09330198565381931,0.06679898398971522
39068,gpI-intron,0.787874064117647,0.6899744736507937,0.09789959046685337,0.06624467119931132
39069,gpI-intron,0.7729069516964285,0.5938104450862068,0.1790965066102217,0.13104136014645715
39072,gpI-intron,0.8709717340833334,0.8103041883333333,0.06066754575000011,0.03608422921015639
39075,gpI-intron,0.802081921,0.6630890301851852,0.1389928908148148,0.09486462361431795
39077,gpI-intron,0.82048769,0.4836911500943396,0.3367965399056604,0.25824413765315934
39079,gpI-intron,0.8008526053225807,0.38803331249999995,0.4128192928225808,0.3472320486213266
39080,gpI-intron,0.6938548885195164,0.18160800615952138,0.512246882359995,0.5851154691687933
39081,gpI-intron,0.49091725042636913,0.12453156422103913,0.36638568620533,0.595314634597571
39082,gpI-intron,0.6096087208148181,0.13216897440537426,0.47743974640944387,0.6436426297068945
39083,gpI-intron,0.7674009317213115,0.6611303209433962,0.10627061077791533,0.07439151966726922
39084,gpI-intron,0.716524863902439,0.6155060155238095,0.10101884837862951,0.07583821812159626
39089,gpI-intron,0.8744388162500001,0.8083912223148148,0.06604759393518533,0.0392479290371554
39092,gpI-intron,0.7880393797222222,0.6839638535,0.10407552622222216,0.07070332718930265
39094,gpI-intron,0.8409406069724771,0.7181248592436974,0.12281574772877968,0.07877523451715689
39095,gpI-intron,0.7235203691818182,0.5957257855932203,0.12779458358859785,0.09686940009341148
39097,gpI-intron,0.7966704261320755,0.6571074779508196,0.13956294818125592,0.09600018530292505
39098,gpI-intron,0.8549047915,0.6676623535185185,0.18724243798148144,0.12297811534558238
39099,gpI-intron,0.9290733726890755,0.7298274007339449,0.1992459719551306,0.12010722711521866
39100,gpI-intron,0.8237870672321429,0.5154498895689655,0.30833717766317736,0.23023347444030315
39101,gpI-intron,0.8044448962499999,0.5079411301724138,0.2965037660775861,0.22592725014442613
39102,gpI-intron,0.8954390541509435,0.664552986557377,0.23088606759356645,0.1480046446190403
39103,gpI-intron,0.847016814224138,0.7103199370535714,0.13669687717056656,0.0877760555373873
39104,gpI-intron,0.7908199343859649,0.6860119093859649,0.10480802499999997,0.07096815080335286
39110,gpI-intron,0.8223478019354838,0.7232408229807692,0.09910697895471465,0.06412248211265448
39116,gpI-intron,0.4714692108411215,0.3294085323966942,0.14206067844442727,0.17738122908760023
39120,gpI-intron,0.7589547600000001,0.5676363821804512,0.19131837781954886,0.14421804257270138
39121,gpI-intron,0.6948626983760683,0.5877657437837838,0.10709695459228452,0.08349803502871113
39123,gpI-intron,0.8170940426446281,0.7085775524299065,0.10851649021472165,0.07112703059102325
39124,gpI-intron,0.6926282769047619,0.545364912745098,0.1472633641596639,0.11895329101229887
39128,gpI-intron,0.8205318054128441,0.7207638391596638,0.0997679662531803,0.06472993458750208
39148,SRP,0.9954000193457944,0.6133640812892562,0.3820359380565381,0.23747169513897753
39154,SRP,0.9987582895192308,0.6857946386290323,0.3129636508901985,0.18578439754589504
39162,SRP,0.9947216547747747,0.8295188917948717,0.165202762979903,0.09055974733735359
39175,SRP,0.9982776076724138,0.6742745841607143,0.3240030235116995,0.19371773574168116
39231,SRP,0.9998691940952381,0.7728997177235772,0.22696947637166087,0.12803105630885417
39232,SRP,0.995105683539823,0.6031093393043478,0.39199634423547514,0.24527134248674598
39264,SRP,0.9999949772413793,0.8271336495535715,0.17286132768780782,0.09460818748761642
